island_name,area_km2,centroid_lon,centroid_lat,centroid_easting,centroid_northing,dist_mainland_km,dist_nearest_large_km,effective_isolation_index,aspect
Nicobar Islands_26,0.04984686049902812,92.79515872523872,9.118181853528403,477492.38795152045,1007924.4515793682,1446.4755621384836,6.685380517434398,0.014050927797440165,east
Nicobar Islands_27,0.030632801186658443,92.80233614124099,9.119372593006227,478281.1052786366,1008055.6590299784,1447.1650144963346,6.85597009929038,0.016864795998286327,east
Nicobar Islands_28,0.03393868414936738,92.81308482663343,9.125624714216826,479462.5101692246,1008746.2560421202,1448.0213499686076,6.867120868921982,0.016148988442965192,east
Nicobar Islands_29,129.96494675143765,92.77588154291513,9.175536040463147,475378.1768795466,1014266.7243743554,1442.2389469043574,140.8738349003236,0.01224668424977916,east
North and Middle Andaman_30,0.0839115645394139,92.84555463412003,12.149259672647682,483196.5060795462,1343063.3326106968,1368.2997293567837,7.714994939398957,0.0018931745282423568,east
North and Middle Andaman_31,244.65677216466705,92.80612697722272,12.20725181286493,478911.38235640654,1349478.849861265,1363.2041871479205,41.97169281903617,0.001759121336103747,east
North and Middle Andaman_32,0.9059170835578323,92.86527754263213,12.24380660253915,485347.53537170525,1353517.1814561465,1369.0610918306704,7.5981700235357765,0.001710363807251992,east
North and Middle Andaman_33,0.08856835203441792,92.88083897963875,12.247822054433113,487040.2013110135,1353960.4157792826,1370.6824926560287,9.282355879533736,0.0017396662763404685,east
North and Middle Andaman_34,11.403351213501635,92.89054845505046,12.237301696220893,488095.7213011189,1352796.6259962847,1371.876514357979,9.765230173092009,0.0017265631523253994,east
North and Middle Andaman_35,0.075436953685869,92.90055536198267,12.26052238694204,489185.0491260194,1355363.9535047663,1372.6315685686604,11.839876426204851,0.0017404094601949137,east
North and Middle Andaman_36,13.855126817329205,92.92293949528796,12.272150034140592,491619.7705624674,1356648.945432486,1374.8847771293417,14.59155239501236,0.0017088912239252702,east
North and Middle Andaman_37,0.06916912358052843,92.91223488390939,12.333375634804222,490457.8670261684,1363419.6635046233,1372.906402807686,18.101590904334724,0.0016701922378462818,east
North and Middle Andaman_38,0.1371590708255768,92.87885592800583,12.295754444523993,486826.908914075,1359260.8961990152,1369.8094772151155,12.583480887220686,0.001669348422759093,east
North and Middle Andaman_39,10.947932801619418,92.8685589382623,12.394401502182722,485712.5726422451,1370169.9185099674,1367.4050792162584,21.780186205115484,0.001561322011639189,east
North and Middle Andaman_40,0.016964345236267893,92.88893437233747,12.413521301935347,487928.2319687982,1372283.207974296,1369.3627843245815,21.817531746006534,0.001707301728703957,east
North and Middle Andaman_41,0.7691142686256149,92.86463471210065,12.416409138659825,485287.25017740414,1372603.7706884763,1366.7045972784022,20.881604904129524,0.0015523638915518547,east
North and Middle Andaman_42,0.04839360347113945,92.90557325755223,12.339779142167073,489733.84026814584,1364128.014872793,1372.1035397315568,18.213281713802978,0.001674914612375125,east
North and Middle Andaman_43,1.1899015469527345,92.91346503684908,12.34771600649871,490592.12555487023,1365005.3909369914,1372.850794990909,19.429699931925818,0.0016227593747107226,east
North and Middle Andaman_44,0.06954116478402074,92.89658960020034,12.393640671704578,488759.43036199186,1370084.4445204241,1370.4390963099704,22.83800737319005,0.001606453643719576,east
North and Middle Andaman_45,0.06612335964527725,92.89841164399772,12.409665620791113,488958.1590111944,1371856.4300507943,1370.4337069594737,22.542975025921358,0.0015991920034743898,east
North and Middle Andaman_46,22.162290586057487,92.74426486298296,12.207283955850784,472182.2728279246,1349487.9869814285,1356.5370494121896,6.729115731897586,0.0017876532556679887,west
North and Middle Andaman_47,2.839200911642625,92.74203068450186,12.268503138662075,471945.7082634005,1356257.893448422,1355.4303935496785,9.719878987237998,0.0017157713731996299,west
North and Middle Andaman_48,0.11656353328657755,92.73717716198064,12.272252528659008,471418.28610892646,1356673.015465493,1354.8551857391644,10.387613302152685,0.0017413561011800126,west
